ContentKey,FishKey,Prey_OS_ID,Scientific Name,CommonName,Aphia_ID,Prey_Detail_Code,PreyWt,Prey_Count,OS_ID,Length,Year,Trawl_ID,Study Area,Start Depth,End Depth,Start Lat Degree,Start Lat Minutes,Start Long Degree,Start Long Minutes
62114089_892_3_1_-1181_1511,62114089_892_3_1_-1181,451,BOREOGADUS SAIDA,ARCTIC COD,126433,88,0,,892,69.3,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1181_1512,62114089_892_3_1_-1181,9980,UNIDENTIFIED MATERIAL,UNIDENTIFIED MATERIAL,,,15.982,,892,69.3,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1182_1505,62114089_892_3_1_-1182,10016,EUSIRUS HOLMI,GAMMARID AMPHIPOD,102200,,1.276,1,892,70.3,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1182_1506,62114089_892_3_1_-1182,8020,NATANTIA = DENDROBRANCHIATA,SHRIMP/SHRIMP SAMPLE,106669,81,0.558,,892,70.3,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1182_1507,62114089_892_3_1_-1182,9980,UNIDENTIFIED MATERIAL,UNIDENTIFIED MATERIAL,,,1.707,,892,70.3,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1183_1519,62114089_892_3_1_-1183,9998,EMPTY,EMPTY,,,,,892,77.8,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1184_1502,62114089_892_3_1_-1184,9998,EMPTY,EMPTY,,,,,892,67.3,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1185_1500,62114089_892_3_1_-1185,9998,EMPTY,EMPTY,,,,,892,65.1,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1186_1504,62114089_892_3_1_-1186,8112,PANDALUS MONTAGUI,SHRIMP,107651,,6.959,2,892,68,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1187_1518,62114089_892_3_1_-1187,8020,NATANTIA = DENDROBRANCHIATA,SHRIMP/SHRIMP SAMPLE,106669,81,0.937,,892,64.3,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1188_1499,62114089_892_3_1_-1188,9998,EMPTY,EMPTY,,,,,892,61.9,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1189_1513,62114089_892_3_1_-1189,999,UNIDENTIFIED FISH,UNIDENTIFIED FISH,,81,4.668,,892,64.3,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1189_1514,62114089_892_3_1_-1189,8110,PANDALUS SP,SHRIMP,107044,81,4.597,,892,64.3,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1189_1515,62114089_892_3_1_-1189,8020,NATANTIA = DENDROBRANCHIATA,SHRIMP/SHRIMP SAMPLE,106669,81,2.712,,892,64.3,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1189_1516,62114089_892_3_1_-1189,8112,PANDALUS MONTAGUI,SHRIMP,107651,81,0.301,,892,64.3,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1189_1517,62114089_892_3_1_-1189,436,GADIDAE,GADOIDS,125469,88,0,,892,64.3,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1190_1501,62114089_892_3_1_-1190,9998,EMPTY,EMPTY,,,,,892,62.9,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1191_1495,62114089_892_3_1_-1191,8112,PANDALUS MONTAGUI,SHRIMP,107651,,28.428,1,892,58.2,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1192_1930,62114089_892_3_1_-1192,8112,PANDALUS MONTAGUI,SHRIMP,107651,,19.87,1,892,57.6,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1193_1498,62114089_892_3_1_-1193,9998,EMPTY,EMPTY,,,,,892,56.3,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1194_1493,62114089_892_3_1_-1194,999,UNIDENTIFIED FISH,UNIDENTIFIED FISH,,81,2.088,,892,53.1,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1194_1494,62114089_892_3_1_-1194,436,GADIDAE,GADOIDS,125469,88,0,,892,53.1,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1195_1492,62114089_892_3_1_-1195,9998,EMPTY,EMPTY,,,,,892,51.5,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1196_1496,62114089_892_3_1_-1196,6000,CRUSTACEA,CRUSTACEAN,1066,81,0.418,,892,53.3,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1196_1497,62114089_892_3_1_-1196,9980,UNIDENTIFIED MATERIAL,UNIDENTIFIED MATERIAL,,,1.026,,892,53.3,2019,62114089,RISA,603,604,60,44.19,65,36.7696
62114089_892_3_1_-1197_1491,62114089_892_3_1_-1197,9998,EMPTY,EMPTY,,,,,892,47.2,2019,62114089,RISA,603,604,60,44.19,65,36.7696
