"Prey_OS_ID","Prey_Detail_Code","CommonName_DB","pred.name","PreyWt","Prey_Count","length.range","prey.name"
6996,81,"GAMMARID AMPHIPOD","Skate",0.739,NA,"016-20","other"
9980,NA,"UNIDENTIFIED MATERIAL","Skate",0.877,NA,"016-20","Unidentified material"
6930,81,"AMPHIPOD","Skate",0.104,NA,"016-20","other"
6999,NA,"GAMMARID AMPHIPOD","Skate",1.411,3,"016-20","other"
6999,NA,"GAMMARID AMPHIPOD","Skate",0.632,2,"016-20","other"
6996,81,"GAMMARID AMPHIPOD","Skate",0.868,NA,"016-20","other"
9980,NA,"UNIDENTIFIED MATERIAL","Skate",0.298,NA,"016-20","Unidentified material"
6999,NA,"GAMMARID AMPHIPOD","Skate",0.775,2,"016-20","other"
6996,81,"GAMMARID AMPHIPOD","Skate",0.902,NA,"016-20","other"
9980,NA,"UNIDENTIFIED MATERIAL","Skate",0.892,NA,"016-20","Unidentified material"
6999,NA,"GAMMARID AMPHIPOD","Skate",1.209,3,"016-20","other"
6996,81,"GAMMARID AMPHIPOD","Skate",0.946,NA,"016-20","other"
6930,81,"AMPHIPOD","Skate",1.085,NA,"016-20","other"
6930,81,"AMPHIPOD","Skate",0.575,NA,"016-20","other"
9980,NA,"UNIDENTIFIED MATERIAL","Skate",0.143,NA,"016-20","Unidentified material"
6996,81,"GAMMARID AMPHIPOD","Skate",0.254,NA,"011-15","other"
9980,NA,"UNIDENTIFIED MATERIAL","Skate",0.906,NA,"011-15","Unidentified material"
6999,NA,"GAMMARID AMPHIPOD","Skate",0.293,1,"011-15","other"
6930,81,"AMPHIPOD","Skate",0.767,NA,"011-15","other"
6930,81,"AMPHIPOD","Skate",0.992,NA,"011-15","other"
6999,NA,"GAMMARID AMPHIPOD","Skate",0.231,1,"011-15","other"
6930,81,"AMPHIPOD","Skate",0.242,NA,"011-15","other"
9980,NA,"UNIDENTIFIED MATERIAL","Skate",0.235,NA,"011-15","Unidentified material"
6930,81,"AMPHIPOD","Skate",0.053,NA,"011-15","other"
6083,NA,"COPEPOD","Skate",0.004,1,"011-15","other"
9980,NA,"UNIDENTIFIED MATERIAL","Skate",0.426,NA,"011-15","Unidentified material"
6930,81,"AMPHIPOD","Skate",0.061,NA,"011-15","other"
6999,NA,"GAMMARID AMPHIPOD","Skate",0.283,2,"011-15","other"
9980,NA,"UNIDENTIFIED MATERIAL","Skate",0.778,NA,"011-15","Unidentified material"
6999,81,"GAMMARID AMPHIPOD","Skate",0.887,NA,"011-15","other"
6999,NA,"GAMMARID AMPHIPOD","Skate",0.084,1,"011-15","other"
9980,NA,"UNIDENTIFIED MATERIAL","Skate",0.214,NA,"011-15","Unidentified material"
6930,81,"AMPHIPOD","Skate",0.081,NA,"011-15","other"
9980,NA,"UNIDENTIFIED MATERIAL","Skate",0.647,NA,"011-15","Unidentified material"
9980,NA,"UNIDENTIFIED MATERIAL","Redfish",0.409,NA,"016-20","Unidentified material"
9980,NA,"UNIDENTIFIED MATERIAL","Skate",0.377,NA,"021-25","Unidentified material"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"046-50","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"041-45","other"
9998,NA,"EMPTY","Redfish",NA,NA,"021-25","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"051-55","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"046-50","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"011-15","other"
6000,81,"CRUSTACEAN","Skate",5.76,NA,"046-50","other"
8111,NA,"SHRIMP","Skate",6.752,1,"046-50","borealis"
8120,NA,"SHRIMP","Skate",5.648,2,"046-50","other"
8020,81,"SHRIMP/SHRIMP SAMPLE","Skate",0.41,NA,"046-50","other"
4950,81,"POLYCHAETE","Skate",1.48,NA,"046-50","other"
8178,NA,"HERMIT CRAB","Skate",5.251,1,"046-50","other"
999,81,"UNIDENTIFIED FISH","Skate",7.643,NA,"041-45","other"
6930,81,"AMPHIPOD","Skate",0.554,NA,"041-45","other"
6000,81,"CRUSTACEAN","Skate",1.626,NA,"041-45","other"
8019,81,"DECAPOD","Skate",7.198,NA,"041-45","other"
8074,NA,"SHRIMP","Skate",5.614,1,"041-45","other"
8111,NA,"SHRIMP","Skate",3.126,1,"041-45","borealis"
9980,NA,"UNIDENTIFIED MATERIAL","Skate",8.987,NA,"041-45","Unidentified material"
853,88,"SEASNAILS","Skate",15.836,1,"041-45","other"
8138,NA,"SHRIMP","Skate",13.076,1,"041-45","other"
8020,81,"SHRIMP/SHRIMP SAMPLE","Skate",2.396,NA,"041-45","other"
6000,81,"CRUSTACEAN","Skate",7.301,NA,"041-45","other"
7933,81,"MYSID","Redfish",0.21,NA,"016-20","other"
999,81,"UNIDENTIFIED FISH","Redfish",2.14,NA,"016-20","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"011-15","other"
999,81,"UNIDENTIFIED FISH","Skate",74.582,NA,"141-145","other"
999,88,"UNIDENTIFIED FISH","Skate",0,NA,"141-145","other"
999,88,"UNIDENTIFIED FISH","Skate",0,NA,"141-145","other"
4846,86,"OCTOPUS","Skate",3.178,NA,"171-175","other"
9980,NA,"UNIDENTIFIED MATERIAL","Skate",20.567,NA,"171-175","Unidentified material"
1101,81,"SPONGE","Greenland halibut",0.264,NA,"046-50","other"
8360,81,"SEA URCHIN","Greenland halibut",0.23,NA,"046-50","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"021-25","other"
9998,NA,"EMPTY","Skate",NA,NA,"046-50","other"
4545,81,"CEPHALOPOD","Skate",0.005,NA,"036-40","other"
9980,NA,"UNIDENTIFIED MATERIAL","Skate",1.854,NA,"036-40","Unidentified material"
6000,81,"CRUSTACEAN","Skate",0.037,NA,"036-40","other"
999,81,"UNIDENTIFIED FISH","Greenland halibut",63.744,NA,"076-80","other"
792,88,"REDFISH","Greenland halibut",0,NA,"076-80","other"
792,88,"REDFISH","Greenland halibut",0,NA,"076-80","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"076-80","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"051-55","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"046-50","other"
9998,NA,"EMPTY","Redfish",NA,NA,"026-30","other"
8112,NA,"SHRIMP","Redfish",2.461,1,"026-30","montagui"
8020,81,"SHRIMP/SHRIMP SAMPLE","Redfish",3.145,NA,"026-30","other"
8111,NA,"SHRIMP","Greenland halibut",5.473,1,"071-75","borealis"
8112,NA,"SHRIMP","Greenland halibut",13.031,3,"071-75","montagui"
8112,NA,"SHRIMP","Greenland halibut",10.326,2,"071-75","montagui"
8020,NA,"SHRIMP/SHRIMP SAMPLE","Greenland halibut",8.65,1,"071-75","other"
8483,5,"SEA STAR","Greenland halibut",0.255,1,"071-75","other"
451,88,"ARCTIC COD","Greenland halibut",13.804,1,"071-75","other"
451,88,"ARCTIC COD","Greenland halibut",6.403,1,"071-75","other"
8112,NA,"SHRIMP","Greenland halibut",10.134,1,"041-45","montagui"
8111,NA,"SHRIMP","Greenland halibut",5.093,1,"041-45","borealis"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"041-45","other"
8111,81,"SHRIMP","Greenland halibut",1.308,NA,"041-45","borealis"
8110,81,"SHRIMP","Greenland halibut",1.64,NA,"041-45","Pandalus"
8020,81,"SHRIMP/SHRIMP SAMPLE","Greenland halibut",9.837,NA,"041-45","other"
8112,NA,"SHRIMP","Greenland halibut",9.623,1,"036-40","montagui"
8020,81,"SHRIMP/SHRIMP SAMPLE","Greenland halibut",5.702,NA,"036-40","other"
9980,NA,"UNIDENTIFIED MATERIAL","Redfish",0.021,NA,"011-15","Unidentified material"
9980,NA,"UNIDENTIFIED MATERIAL","Redfish",0.034,NA,"011-15","Unidentified material"
9980,NA,"UNIDENTIFIED MATERIAL","Redfish",0.036,NA,"011-15","Unidentified material"
9998,NA,"EMPTY","Redfish",NA,NA,"016-20","other"
9980,NA,"UNIDENTIFIED MATERIAL","Redfish",0.117,NA,"016-20","Unidentified material"
9980,NA,"UNIDENTIFIED MATERIAL","Redfish",0.114,NA,"016-20","Unidentified material"
9998,NA,"EMPTY","Skate",NA,NA,"006-10","other"
9980,NA,"UNIDENTIFIED MATERIAL","Skate",0.536,NA,"026-30","Unidentified material"
10011,NA,"SQUID","Greenland halibut",8.23,1,"021-25","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"026-30","other"
4769,NA,"SQUID","Greenland halibut",12.437,2,"031-35","other"
10011,81,"SQUID","Greenland halibut",4.796,NA,"031-35","other"
999,81,"UNIDENTIFIED FISH","Greenland halibut",2.711,NA,"031-35","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"036-40","other"
999,81,"UNIDENTIFIED FISH","Greenland halibut",9.609,NA,"041-45","other"
9980,NA,"UNIDENTIFIED MATERIAL","Greenland halibut",0.02,NA,"026-30","Unidentified material"
6083,81,"COPEPOD","Redfish",0.203,NA,"021-25","other"
4769,NA,"SQUID","Greenland halibut",8.6,1,"031-35","other"
7994,NA,"EUPHAUSID","Greenland halibut",0.495,1,"041-45","other"
7991,NA,"EUPHAUSID","Redfish",0.489,1,"016-20","other"
9998,NA,"EMPTY","Redfish",NA,NA,"021-25","other"
9998,NA,"EMPTY","Redfish",NA,NA,"021-25","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"041-45","other"
999,81,"UNIDENTIFIED FISH","Skate",0.65,NA,"036-40","other"
4545,86,"CEPHALOPOD","Skate",0.031,NA,"036-40","other"
6967,81,"HYPERID AMPHIPOD","Skate",0.011,NA,"036-40","other"
6967,NA,"HYPERID AMPHIPOD","Skate",0.031,1,"036-40","other"
999,81,"UNIDENTIFIED FISH","Skate",3.454,NA,"036-40","other"
9980,NA,"UNIDENTIFIED MATERIAL","Redfish",0.383,NA,"021-25","Unidentified material"
7991,81,"EUPHAUSID","Redfish",0.234,NA,"026-30","other"
4545,86,"CEPHALOPOD","Redfish",0.107,NA,"026-30","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"021-25","other"
9980,NA,"UNIDENTIFIED MATERIAL","Greenland halibut",0.76,NA,"031-35","Unidentified material"
999,81,"UNIDENTIFIED FISH","Greenland halibut",7.984,NA,"041-45","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"051-55","other"
7994,NA,"EUPHAUSID","Redfish",4.36,20,"026-30","other"
6000,81,"CRUSTACEAN","Redfish",0.191,NA,"026-30","other"
6930,81,"AMPHIPOD","Skate",0.285,NA,"011-15","other"
6930,81,"AMPHIPOD","Skate",0.117,NA,"011-15","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"036-40","other"
999,81,"UNIDENTIFIED FISH","Greenland halibut",1.617,NA,"061-65","other"
999,88,"UNIDENTIFIED FISH","Greenland halibut",0,NA,"061-65","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"011-15","other"
6967,NA,"HYPERID AMPHIPOD","Greenland halibut",0.126,6,"011-15","other"
6967,81,"HYPERID AMPHIPOD","Greenland halibut",0.249,NA,"011-15","other"
6967,NA,"HYPERID AMPHIPOD","Greenland halibut",0.019,1,"011-15","other"
6967,81,"HYPERID AMPHIPOD","Greenland halibut",0.149,NA,"011-15","other"
6967,81,"HYPERID AMPHIPOD","Greenland halibut",0.194,NA,"016-20","other"
808,88,"SCULPINS","Greenland halibut",2.387,1,"021-25","other"
6967,81,"HYPERID AMPHIPOD","Greenland halibut",0.054,NA,"021-25","other"
6000,81,"CRUSTACEAN","Skate",0.11,NA,"016-20","other"
6930,81,"AMPHIPOD","Skate",0.167,NA,"016-20","other"
4950,81,"POLYCHAETE","Skate",0.04,NA,"016-20","other"
6996,NA,"GAMMARID AMPHIPOD","Skate",0.33,1,"016-20","other"
7389,5,"GAMMARID AMPHIPOD","Skate",0.026,1,"016-20","other"
9980,NA,"UNIDENTIFIED MATERIAL","Skate",0.478,NA,"016-20","Unidentified material"
4950,81,"POLYCHAETE","Skate",0.187,NA,"011-15","other"
6000,81,"CRUSTACEAN","Skate",0.099,NA,"011-15","other"
9980,NA,"UNIDENTIFIED MATERIAL","Skate",0.063,NA,"011-15","Unidentified material"
9998,NA,"EMPTY","Skate",NA,NA,"011-15","other"
9980,NA,"UNIDENTIFIED MATERIAL","Redfish",0.515,NA,"021-25","Unidentified material"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"021-25","other"
4545,81,"CEPHALOPOD","Greenland halibut",1.812,1,"026-30","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"021-25","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"031-35","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"036-40","other"
9998,NA,"EMPTY","Redfish",NA,NA,"006-10","other"
6000,81,"CRUSTACEAN","Redfish",0.16,NA,"016-20","other"
9998,NA,"EMPTY","Redfish",NA,NA,"016-20","other"
999,90,"UNIDENTIFIED FISH","Greenland halibut",0.342,NA,"056-60","other"
2670,NA,"BRYOZOA","Greenland halibut",0.584,1,"051-55","other"
1101,81,"SPONGE","Greenland halibut",0.707,NA,"051-55","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"041-45","other"
9998,NA,"EMPTY","Greenland halibut",0,NA,"036-40","other"
9998,NA,"EMPTY","Greenland halibut",0,NA,"036-40","other"
9998,NA,"EMPTY","Greenland halibut",0,NA,"036-40","other"
9998,NA,"EMPTY","Greenland halibut",0,NA,"031-35","other"
9998,NA,"EMPTY","Greenland halibut",0,NA,"031-35","other"
9998,NA,"EMPTY","Greenland halibut",0,NA,"026-30","other"
4545,81,"CEPHALOPOD","Greenland halibut",1.39,NA,"026-30","other"
8111,NA,"SHRIMP","Skate",18.622,2,"036-40","borealis"
8111,81,"SHRIMP","Skate",5.742,NA,"036-40","borealis"
9998,NA,"EMPTY","Skate",NA,NA,"046-50","other"
6967,NA,"HYPERID AMPHIPOD","Greenland halibut",0.088,2,"011-15","other"
6967,81,"HYPERID AMPHIPOD","Greenland halibut",0.376,NA,"011-15","other"
6967,81,"HYPERID AMPHIPOD","Greenland halibut",0.2,NA,"011-15","other"
6967,81,"HYPERID AMPHIPOD","Greenland halibut",0.46,NA,"016-20","other"
6967,NA,"HYPERID AMPHIPOD","Greenland halibut",0.131,3,"016-20","other"
6967,81,"HYPERID AMPHIPOD","Greenland halibut",0.239,NA,"016-20","other"
6967,81,"HYPERID AMPHIPOD","Greenland halibut",0.306,NA,"016-20","other"
6080,81,"COPEPOD","Redfish",0.054,NA,"006-10","other"
6930,81,"AMPHIPOD","Redfish",0.031,NA,"006-10","other"
8110,NA,"SHRIMP","Skate",11.346,1,"036-40","Pandalus"
8110,81,"SHRIMP","Skate",11.39,NA,"036-40","Pandalus"
8111,NA,"SHRIMP","Skate",17.16,1,"036-40","borealis"
6930,81,"AMPHIPOD","Greenland halibut",0.21,NA,"006-10","other"
8111,NA,"SHRIMP","Greenland halibut",7.179,1,"041-45","borealis"
815,88,"ARCTIC MAILED SCULPIN","Greenland halibut",11.201,1,"041-45","other"
8110,81,"SHRIMP","Greenland halibut",6.068,NA,"041-45","Pandalus"
6000,81,"CRUSTACEAN","Atlantic cod",2.442,NA,"031-35","other"
8111,NA,"SHRIMP","Atlantic cod",5.77,1,"031-35","borealis"
6000,81,"CRUSTACEAN","Skate",0.035,NA,"016-20","other"
9980,NA,"UNIDENTIFIED MATERIAL","Skate",1.295,NA,"016-20","Unidentified material"
7994,NA,"EUPHAUSID","Redfish",0.711,1,"021-25","other"
9998,NA,"EMPTY","Redfish",NA,NA,"021-25","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"051-55","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"051-55","other"
859,88,"GELATINOUS SEASNAIL","Greenland halibut",5.037,1,"051-55","other"
7933,81,"MYSID","Greenland halibut",2.305,NA,"051-55","other"
8135,NA,"SHRIMP","Greenland halibut",1.384,1,"046-50","other"
7935,NA,"MYSID","Greenland halibut",1.432,2,"046-50","other"
7933,81,"MYSID","Greenland halibut",0.94,NA,"046-50","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"046-50","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"046-50","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"041-45","other"
10560,5,"MYSID","Greenland halibut",0.014,1,"041-45","other"
7935,NA,"MYSID","Greenland halibut",0.18,1,"036-40","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"036-40","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"036-40","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"031-35","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"031-35","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"031-35","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"026-30","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"026-30","other"
9998,NA,"EMPTY","Skate",NA,NA,"041-45","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"016-20","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"016-20","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"011-15","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"066-70","other"
999,90,"UNIDENTIFIED FISH","Greenland halibut",0.49,NA,"061-65","other"
10760,81,"Foraminifera (amoeboid protists)","Greenland halibut",0.002,NA,"061-65","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"056-60","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"056-60","other"
4950,81,"POLYCHAETE","Skate",0.05,NA,"036-40","other"
9980,NA,"UNIDENTIFIED MATERIAL","Skate",0.622,NA,"036-40","Unidentified material"
6930,81,"AMPHIPOD","Skate",0.062,NA,"031-35","other"
7389,NA,"GAMMARID AMPHIPOD","Skate",0.027,1,"031-35","other"
9980,NA,"UNIDENTIFIED MATERIAL","Skate",0.66,NA,"031-35","Unidentified material"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"026-30","other"
6000,81,"CRUSTACEAN","Greenland halibut",0.252,NA,"016-20","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"021-25","other"
7933,NA,"MYSID","Greenland halibut",0.494,1,"021-25","other"
6967,81,"HYPERID AMPHIPOD","Skate",0.084,NA,"041-45","other"
6930,81,"AMPHIPOD","Skate",0.216,NA,"041-45","other"
6000,81,"CRUSTACEAN","Skate",0.459,NA,"041-45","other"
7935,NA,"MYSID","Skate",0.055,1,"041-45","other"
4769,NA,"SQUID","Skate",0.909,1,"041-45","other"
10760,81,"Foraminifera (amoeboid protists)","Skate",0.006,NA,"041-45","other"
9980,NA,"UNIDENTIFIED MATERIAL","Skate",1.15,NA,"041-45","Unidentified material"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"011-15","other"
6000,81,"CRUSTACEAN","Greenland halibut",0.067,NA,"011-15","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"061-65","other"
7935,NA,"MYSID","Greenland halibut",1.624,5,"066-70","other"
7935,NA,"MYSID","Greenland halibut",0.342,3,"066-70","other"
7957,NA,"MYSID","Greenland halibut",0.053,1,"066-70","other"
1101,81,"SPONGE","Greenland halibut",1.204,NA,"066-70","other"
7933,81,"MYSID","Greenland halibut",3.978,NA,"056-60","other"
999,81,"UNIDENTIFIED FISH","Greenland halibut",20.352,NA,"056-60","other"
999,88,"UNIDENTIFIED FISH","Greenland halibut",0,NA,"056-60","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"061-65","other"
6000,81,"CRUSTACEAN","Skate",0.239,NA,"031-35","other"
9980,NA,"UNIDENTIFIED MATERIAL","Skate",0.859,NA,"031-35","Unidentified material"
4846,NA,"OCTOPUS","Skate",3.534,1,"031-35","other"
4545,81,"CEPHALOPOD","Skate",0.411,NA,"031-35","other"
6967,NA,"HYPERID AMPHIPOD","Skate",0.046,1,"031-35","other"
6000,81,"CRUSTACEAN","Skate",0.376,NA,"031-35","other"
10760,81,"Foraminifera (amoeboid protists)","Skate",0.034,NA,"031-35","other"
7994,NA,"EUPHAUSID","Skate",0.582,1,"031-35","other"
9980,NA,"UNIDENTIFIED MATERIAL","Skate",2.017,NA,"031-35","Unidentified material"
4846,81,"OCTOPUS","Skate",10.295,NA,"031-35","other"
6967,NA,"HYPERID AMPHIPOD","Skate",0.037,1,"031-35","other"
6967,81,"HYPERID AMPHIPOD","Skate",0.048,NA,"031-35","other"
6930,NA,"AMPHIPOD","Skate",0.339,1,"031-35","other"
7935,81,"MYSID","Skate",0.236,NA,"031-35","other"
7935,NA,"MYSID","Skate",0.291,4,"031-35","other"
7933,81,"MYSID","Skate",0.568,NA,"031-35","other"
6000,81,"CRUSTACEAN","Skate",0.672,NA,"031-35","other"
999,88,"UNIDENTIFIED FISH","Skate",0,NA,"031-35","other"
999,88,"UNIDENTIFIED FISH","Skate",0,NA,"031-35","other"
9980,NA,"UNIDENTIFIED MATERIAL","Skate",3.204,NA,"031-35","Unidentified material"
451,88,"ARCTIC COD","Greenland halibut",4.005,1,"041-45","other"
8551,NA,"BRITTLE STAR","Greenland halibut",1.292,1,"041-45","other"
451,88,"ARCTIC COD","Greenland halibut",5.111,1,"041-45","other"
436,88,"GADOIDS","Greenland halibut",6.629,1,"036-40","other"
451,88,"ARCTIC COD","Greenland halibut",4.85,1,"031-35","other"
815,88,"ARCTIC MAILED SCULPIN","Greenland halibut",16.805,1,"026-30","other"
451,88,"ARCTIC COD","Greenland halibut",3.09,1,"026-30","other"
451,88,"ARCTIC COD","Greenland halibut",5.791,1,"026-30","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"021-25","other"
999,88,"UNIDENTIFIED FISH","Greenland halibut",0,NA,"021-25","other"
999,88,"UNIDENTIFIED FISH","Greenland halibut",0,NA,"021-25","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"016-20","other"
451,88,"ARCTIC COD","Greenland halibut",2.598,1,"016-20","other"
999,88,"UNIDENTIFIED FISH","Greenland halibut",1.2,1,"016-20","other"
6967,81,"HYPERID AMPHIPOD","Greenland halibut",0.262,NA,"006-10","other"
9980,NA,"UNIDENTIFIED MATERIAL","Skate",0.259,NA,"016-20","Unidentified material"
6000,81,"CRUSTACEAN","Skate",1.198,NA,"016-20","other"
4949,81,"ANNELID","Skate",3.234,NA,"021-25","other"
8020,81,"SHRIMP/SHRIMP SAMPLE","Skate",0.016,NA,"016-20","other"
6967,NA,"HYPERID AMPHIPOD","Skate",0.003,1,"016-20","other"
9980,NA,"UNIDENTIFIED MATERIAL","Skate",0.863,NA,"016-20","Unidentified material"
9980,NA,"UNIDENTIFIED MATERIAL","Skate",0.941,NA,"016-20","Unidentified material"
6930,81,"AMPHIPOD","Skate",0.011,NA,"016-20","other"
9980,NA,"UNIDENTIFIED MATERIAL","Skate",0.757,NA,"016-20","Unidentified material"
9980,NA,"UNIDENTIFIED MATERIAL","Skate",0.994,NA,"016-20","Unidentified material"
9980,NA,"UNIDENTIFIED MATERIAL","Skate",0.578,NA,"016-20","Unidentified material"
451,88,"ARCTIC COD","Greenland halibut",13.693,1,"036-40","other"
451,88,"ARCTIC COD","Greenland halibut",5.392,1,"031-35","other"
436,88,"GADOIDS","Greenland halibut",2.105,1,"031-35","other"
436,88,"GADOIDS","Greenland halibut",5.129,1,"031-35","other"
436,88,"GADOIDS","Greenland halibut",4.938,1,"031-35","other"
999,81,"UNIDENTIFIED FISH","Greenland halibut",2.139,NA,"026-30","other"
9980,NA,"UNIDENTIFIED MATERIAL","Greenland halibut",1.826,NA,"026-30","Unidentified material"
436,88,"GADOIDS","Greenland halibut",4.386,1,"026-30","other"
436,88,"GADOIDS","Greenland halibut",8.399,1,"026-30","other"
999,88,"UNIDENTIFIED FISH","Greenland halibut",0,NA,"026-30","other"
999,88,"UNIDENTIFIED FISH","Greenland halibut",0,NA,"026-30","other"
999,88,"UNIDENTIFIED FISH","Greenland halibut",0,NA,"026-30","other"
436,88,"GADOIDS","Greenland halibut",4.547,1,"026-30","other"
8020,NA,"SHRIMP/SHRIMP SAMPLE","Greenland halibut",0.872,1,"026-30","other"
999,88,"UNIDENTIFIED FISH","Greenland halibut",0,NA,"021-25","other"
999,90,"UNIDENTIFIED FISH","Greenland halibut",0.099,NA,"021-25","other"
9980,NA,"UNIDENTIFIED MATERIAL","Greenland halibut",2.388,NA,"021-25","Unidentified material"
9980,NA,"UNIDENTIFIED MATERIAL","Greenland halibut",1.329,NA,"016-20","Unidentified material"
999,81,"UNIDENTIFIED FISH","Skate",33.153,NA,"041-45","other"
999,88,"UNIDENTIFIED FISH","Skate",0,NA,"041-45","other"
999,88,"UNIDENTIFIED FISH","Skate",0,NA,"041-45","other"
8020,81,"SHRIMP/SHRIMP SAMPLE","Skate",1.047,NA,"041-45","other"
4949,81,"ANNELID","Skate",0.862,NA,"021-25","other"
8111,NA,"SHRIMP","Skate",16.349,1,"021-25","borealis"
6999,NA,"GAMMARID AMPHIPOD","Skate",0.402,3,"021-25","other"
6930,81,"AMPHIPOD","Skate",1.001,NA,"021-25","other"
6930,81,"AMPHIPOD","Skate",0.265,NA,"016-20","other"
4950,81,"POLYCHAETE","Skate",2.521,NA,"016-20","other"
9998,NA,"EMPTY","Skate",NA,NA,"021-25","other"
436,88,"GADOIDS","Greenland halibut",13.708,1,"026-30","other"
9980,NA,"UNIDENTIFIED MATERIAL","Skate",0.5,NA,"021-25","Unidentified material"
6930,81,"AMPHIPOD","Skate",0.376,NA,"036-40","other"
999,81,"UNIDENTIFIED FISH","Skate",0.363,NA,"036-40","other"
9980,NA,"UNIDENTIFIED MATERIAL","Skate",2.756,NA,"036-40","Unidentified material"
6000,81,"CRUSTACEAN","Skate",0.544,NA,"016-20","other"
813,88,"MAILED SCULPINS","Greenland halibut",2.729,1,"031-35","other"
999,81,"UNIDENTIFIED FISH","Greenland halibut",2.311,NA,"031-35","other"
999,88,"UNIDENTIFIED FISH","Greenland halibut",0,NA,"031-35","other"
999,88,"UNIDENTIFIED FISH","Greenland halibut",0,NA,"031-35","other"
6967,81,"HYPERID AMPHIPOD","Greenland halibut",0.135,NA,"006-10","other"
9980,NA,"UNIDENTIFIED MATERIAL","Greenland halibut",0.107,NA,"006-10","Unidentified material"
6967,81,"HYPERID AMPHIPOD","Greenland halibut",0.246,NA,"006-10","other"
2570,NA,"PRIAPULID","Skate",0.945,1,"021-25","other"
7211,NA,"GAMMARID AMPHIPOD","Skate",0.393,1,"021-25","other"
9980,NA,"UNIDENTIFIED MATERIAL","Skate",0.316,NA,"021-25","Unidentified material"
9998,NA,"EMPTY","Skate",NA,NA,"036-40","other"
808,88,"SCULPINS","Skate",17.623,1,"036-40","other"
7211,NA,"GAMMARID AMPHIPOD","Skate",0.243,1,"021-25","other"
6967,NA,"HYPERID AMPHIPOD","Skate",0.032,1,"021-25","other"
9980,NA,"UNIDENTIFIED MATERIAL","Skate",0.665,NA,"021-25","Unidentified material"
6967,81,"HYPERID AMPHIPOD","Greenland halibut",0.181,NA,"011-15","other"
6967,NA,"HYPERID AMPHIPOD","Greenland halibut",0.05,1,"011-15","other"
6967,81,"HYPERID AMPHIPOD","Greenland halibut",0.072,NA,"011-15","other"
6967,NA,"HYPERID AMPHIPOD","Greenland halibut",0.016,1,"011-15","other"
6967,NA,"HYPERID AMPHIPOD","Greenland halibut",0.075,2,"006-10","other"
6967,81,"HYPERID AMPHIPOD","Greenland halibut",0.158,NA,"006-10","other"
9980,NA,"UNIDENTIFIED MATERIAL","Greenland halibut",0.065,NA,"006-10","Unidentified material"
6967,NA,"HYPERID AMPHIPOD","Greenland halibut",0.079,2,"006-10","other"
6967,81,"HYPERID AMPHIPOD","Greenland halibut",0.159,NA,"006-10","other"
