"","ContentKey","Prey_OS_ID","PreyWt","Prey_Count","OS_ID","Length","Trawl_ID","Year","Start.Depth","End.Depth","Study.Area","Scientific.Name","CommonName","Start.Lat.Degree","Start.Lat.Minutes","Start.Long.Degree","Start.Long.Minutes","FishKey","region","pred.name","depth","length.range"
"57","62114087_90_3_1_-1137_408",10560,0.442,NA,90,45.5,62114087,2019,225,225,"RISA","RAJA RADIATA = AMBLYRAJA RADIATA","THORNY SKATE",60,32.3094,65,57.3264,"62114087_90_3_1_-1137","EAZ","Skate","200-300 m","41-45"
"58","62114087_90_3_1_-1137_409",6000,11.02,NA,90,45.5,62114087,2019,225,225,"RISA","RAJA RADIATA = AMBLYRAJA RADIATA","THORNY SKATE",60,32.3094,65,57.3264,"62114087_90_3_1_-1137","EAZ","Skate","200-300 m","41-45"
"59","62114089_89_3_1_-1169_1789",8020,9.855,NA,89,28,62114089,2019,603,604,"RISA","RAJA SP","SKATE",60,44.19,65,36.7696,"62114089_89_3_1_-1169","EAZ","Skate","500-750 m","26-30"
"60","62114089_89_3_1_-1170_1792",8020,7.128,NA,89,36.3,62114089,2019,603,604,"RISA","RAJA SP","SKATE",60,44.19,65,36.7696,"62114089_89_3_1_-1170","EAZ","Skate","500-750 m","36-40"
"61","62114089_89_3_1_-1171_1791",9998,NA,NA,89,45.2,62114089,2019,603,604,"RISA","RAJA SP","SKATE",60,44.19,65,36.7696,"62114089_89_3_1_-1171","EAZ","Skate","500-750 m","41-45"
"62","62114089_89_3_1_-1172_1790",9998,NA,NA,89,53.7,62114089,2019,603,604,"RISA","RAJA SP","SKATE",60,44.19,65,36.7696,"62114089_89_3_1_-1172","EAZ","Skate","500-750 m","51-55"
"63","62114089_892_3_1_-1173_1787",9998,NA,NA,892,12.8,62114089,2019,603,604,"RISA","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",60,44.19,65,36.7696,"62114089_892_3_1_-1173","EAZ","Greenland halibut","500-750 m","11-15"
"64","62114089_892_3_1_-1175_1788",9998,NA,NA,892,13.6,62114089,2019,603,604,"RISA","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",60,44.19,65,36.7696,"62114089_892_3_1_-1175","EAZ","Greenland halibut","500-750 m","11-15"
"65","62114089_892_3_1_-1179_1520",999,0.184,NA,892,75,62114089,2019,603,604,"RISA","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",60,44.19,65,36.7696,"62114089_892_3_1_-1179","EAZ","Greenland halibut","500-750 m","71-75"
"66","62114089_892_3_1_-1179_1521",9980,0.182,NA,892,75,62114089,2019,603,604,"RISA","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",60,44.19,65,36.7696,"62114089_892_3_1_-1179","EAZ","Greenland halibut","500-750 m","71-75"
"67","62114089_892_3_1_-1179_1522",999,0,NA,892,75,62114089,2019,603,604,"RISA","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",60,44.19,65,36.7696,"62114089_892_3_1_-1179","EAZ","Greenland halibut","500-750 m","71-75"
"68","62114089_892_3_1_-1179_1523",999,0,NA,892,75,62114089,2019,603,604,"RISA","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",60,44.19,65,36.7696,"62114089_892_3_1_-1179","EAZ","Greenland halibut","500-750 m","71-75"
"69","62114089_892_3_1_-1180_1503",9998,NA,NA,892,75.3,62114089,2019,603,604,"RISA","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",60,44.19,65,36.7696,"62114089_892_3_1_-1180","EAZ","Greenland halibut","500-750 m","71-75"
"70","62114089_892_3_1_-1181_1508",272,5.983,1,892,69.3,62114089,2019,603,604,"RISA","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",60,44.19,65,36.7696,"62114089_892_3_1_-1181","EAZ","Greenland halibut","500-750 m","66-70"
"71","62114089_892_3_1_-1181_1509",999,11.124,NA,892,69.3,62114089,2019,603,604,"RISA","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",60,44.19,65,36.7696,"62114089_892_3_1_-1181","EAZ","Greenland halibut","500-750 m","66-70"
"72","62114089_892_3_1_-1181_1510",451,0,NA,892,69.3,62114089,2019,603,604,"RISA","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",60,44.19,65,36.7696,"62114089_892_3_1_-1181","EAZ","Greenland halibut","500-750 m","66-70"
"73","62114089_892_3_1_-1181_1511",451,0,NA,892,69.3,62114089,2019,603,604,"RISA","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",60,44.19,65,36.7696,"62114089_892_3_1_-1181","EAZ","Greenland halibut","500-750 m","66-70"
"74","62114089_892_3_1_-1181_1512",9980,15.982,NA,892,69.3,62114089,2019,603,604,"RISA","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",60,44.19,65,36.7696,"62114089_892_3_1_-1181","EAZ","Greenland halibut","500-750 m","66-70"
