"ContentKey","FishKey","Prey_OS_ID","ScientificName_W","CommonName_DB","Prey_Detail_Code","PreyWt","Prey_Count","OS_ID","Length","Year","Trawl_ID","Study.Area","Start.Depth","End.Depth","Start.Lat.Degree","Start.Lat.Minutes","Start.Long.Degree","Start.Long.Minutes","Phylum","Order","region","pred.name","depth","length.range"
"62114089_892_3_1_-1173_1787","62114089_892_3_1_-1173",9998,"Empty","EMPTY",NA,NA,NA,892,12.8,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,NA,NA,"EAZ","Greenland halibut","500-750 m","11-15"
"62114089_892_3_1_-1175_1788","62114089_892_3_1_-1175",9998,"Empty","EMPTY",NA,NA,NA,892,13.6,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,NA,NA,"EAZ","Greenland halibut","500-750 m","11-15"
"62114089_892_3_1_-1179_1520","62114089_892_3_1_-1179",999,"Unidentifiable Pisces","UNIDENTIFIED FISH",81,0.184,NA,892,75,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,"Pisces",NA,"EAZ","Greenland halibut","500-750 m","71-75"
"62114089_892_3_1_-1179_1521","62114089_892_3_1_-1179",9980,"Unidentified Material","UNIDENTIFIED MATERIAL",NA,0.182,NA,892,75,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,NA,NA,"EAZ","Greenland halibut","500-750 m","71-75"
"62114089_892_3_1_-1179_1522","62114089_892_3_1_-1179",999,"Unidentifiable Pisces","UNIDENTIFIED FISH",88,0,NA,892,75,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,"Pisces",NA,"EAZ","Greenland halibut","500-750 m","71-75"
"62114089_892_3_1_-1179_1523","62114089_892_3_1_-1179",999,"Unidentifiable Pisces","UNIDENTIFIED FISH",88,0,NA,892,75,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,"Pisces",NA,"EAZ","Greenland halibut","500-750 m","71-75"
"62114089_892_3_1_-1180_1503","62114089_892_3_1_-1180",9998,"Empty","EMPTY",NA,NA,NA,892,75.3,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,NA,NA,"EAZ","Greenland halibut","500-750 m","71-75"
"62114089_892_3_1_-1181_1508","62114089_892_3_1_-1181",272,"Myctophidae","LANTERNFISHES",88,5.983,1,892,69.3,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,"Chordata","Myctophiformes","EAZ","Greenland halibut","500-750 m","66-70"
"62114089_892_3_1_-1181_1509","62114089_892_3_1_-1181",999,"Unidentifiable Pisces","UNIDENTIFIED FISH",81,11.124,NA,892,69.3,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,"Pisces",NA,"EAZ","Greenland halibut","500-750 m","66-70"
"62114089_892_3_1_-1181_1510","62114089_892_3_1_-1181",451,"Boreogadus saida","ARCTIC COD",88,0,NA,892,69.3,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,"Chordata","Gadiformes","EAZ","Greenland halibut","500-750 m","66-70"
"62114089_892_3_1_-1181_1511","62114089_892_3_1_-1181",451,"Boreogadus saida","ARCTIC COD",88,0,NA,892,69.3,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,"Chordata","Gadiformes","EAZ","Greenland halibut","500-750 m","66-70"
"62114089_892_3_1_-1181_1512","62114089_892_3_1_-1181",9980,"Unidentified Material","UNIDENTIFIED MATERIAL",NA,15.982,NA,892,69.3,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,NA,NA,"EAZ","Greenland halibut","500-750 m","66-70"
"62114089_892_3_1_-1182_1505","62114089_892_3_1_-1182",10016,"Eusirus holmii","GAMMARID AMPHIPOD",NA,1.276,1,892,70.3,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,"Arthropoda","Amphipoda","EAZ","Greenland halibut","500-750 m","66-70"
"62114089_892_3_1_-1182_1506","62114089_892_3_1_-1182",8020,"","SHRIMP/SHRIMP SAMPLE",81,0.558,NA,892,70.3,2019,62114089,"RISA",603,604,60,44.19,65,36.7696,"Arthropoda","Decapoda","EAZ","Greenland halibut","500-750 m","66-70"
